trigger_num,name,ra,dec,lii,bii,day_trigger,time,seconds_trigger,error_radius,earth_angle,overwrite,overwritten,max_cts_64,threshold_64,flux_64,flux_64_error,flux_64_time,max_cts_256,threshold_256,flux_256,flux_256_error,flux_256_time,max_cts_1024,threshold_1024,flux_1024,flux_1024_error,flux_1024_time,t50,t50_error,t50_start,t90,t90_error,t90_start,fluence_1,fluence_1_error,fluence_2,fluence_2_error,fluence_3,fluence_3_error,fluence_4,fluence_4_error,comments_quality,comments_otherobs,comments_general,comments_position,comments_duration
297,4B 910608,239.12,-62.25,322.73,-6.72, 8415,48415.96806,83640.683, 7.52,91.97,Y,N,   4.610,  66,  2.9790,  0.3160,   0.2560,-999,-999,  2.1900,  0.1420,   0.2560,-999,-999,  0.8000,  0.0550,   0.3200,   0.320, 0.091,   -0.064,   0.960, 0.091,   -0.704,0.000000014867,0.0000000039478,0.000000033207,0.0000000030735,0.0000001553,0.0000000078882,0.00000086784,0.00000010177,Data gaps in burst data,,,,
298,4B 910609,103.08,-12.07,223.8,-5.28, 8416,48416.03365, 2907.115, 1.48,126.51,N,Y,  60.364,  66, 56.1270,  1.2240,   0.0000,-999, 132, 22.0470,  0.3850,   0.1280,  25.644, 264,  6.1750,  0.1140,   0.7040,   0.111, 0.064,   -0.128,   0.455, 0.065,   -0.128,0.00000013681,0.0000000056766,0.00000024541,0.0000000065185,0.0000011921,0.000000016566,0.0000047116,0.00000011955,,CGRO-COMPTEL,,,
332,4B 910612,337.07,15.42,79.39,-35.08, 8419,48419.36754,31755.883, 1.11,140.82,N,N,   1.689,  66,  1.2380,  0.2250,   3.2640,   3.134, 132,  1.1880,  0.1100,   3.0720,   5.367, 264,  1.1270,  0.0540,   3.2640,  13.760, 0.590,    4.096,  50.624, 4.418,    0.768,0.00000051098,0.000000016855,0.0000008879,0.000000017012,0.0000019133,0.000000050136,0.0000007095,0.0000003029,,,,,
351,4B 910614-,174.75,-12.95,276.96,46.24, 8421,48421.07945, 6864.491, 1.95,92.05,N,N,   1.656,  66,  1.4500,  0.2580,  41.7920,   2.846, 132,  1.2260,  0.1260,  41.9200,   5.519, 264,  1.2200,  0.0620,  42.2400,  52.352, 1.223,   12.096, 146.944, 4.017,  -57.856,0.0000036229,0.000000064732,0.000003799,0.000000057367,0.0000091375,0.00000015328,0.000018439,0.0000014465,Noisy background (magnetospheric activity),,,,
353,4B 910614-,20.06,-13.44,150.54,-74.75, 8421,48421.40795,35246.955, 5.40,99.26,N,N,,,  1.7190,  0.2740,   0.0000,,,  0.9620,  0.1240,   0.1920,,,  0.2700,  0.0550,   0.3200,,,,,,,0.0000000004624,0.0000000029195,0.000000020149,0.0000000046274,0.000000028728,0.00000001109,0.0000000040365,0.000000063873,,,Solar flare at T + 60 s,,Duration determined visually at ~ 0.1 s
373,4B 910616,356.72,-1.21,89.38,-59.81, 8423,48423.44404,38364.779, 3.85,68.35,N,N,   1.091,  66,  1.0890,  0.2670,   0.0000,-999, 132,  0.6440,  0.1290,   0.1280,   2.663, 264,  0.5230,  0.0630,   0.1280,   0.768, 0.091,   -0.832,   1.536, 0.091,   -1.408,0.0000000032774,0.0000000066443,0.000000010944,0.0000000081095,0.00000020065,0.000000017344,0.000000061125,0.00000010108,,,,,High time resolution (TTE) data not available
394,4B 910619,21.17,-36.57,268.27,-78.22, 8426,48426.59344,51272.811, 0.79,113.79,N,N,   6.527,  71,  5.1050,  0.3760,  23.2320,  11.800, 143,  4.7770,  0.1810,  23.2960,  17.566, 286,  4.0560,  0.0860,  23.6160,  36.992, 0.405,   16.192, 106.112, 2.057,   -7.168,0.0000059717,0.000000056132,0.0000068778,0.000000046539,0.00002434,0.00000014209,0.000034792,0.0000012239,Event occurs after SAA exit,"Ulysses rate increase, PVO rate increase",,,
398,4B 910620-,67.92,22.5,175.4,-17.24, 8427,48427.23438,20250.411, 1.75,132.55,N,N,,,  2.0310,  0.3820,   0.4480,,,  1.7140,  0.1860,   0.4480,,,  1.5360,  0.0920,   1.2160,  10.368, 0.405,    1.024,  25.600, 4.546,   -1.664,0.00000062871,0.000000023534,0.00000091102,0.000000028172,0.0000023802,0.000000071682,0.0000020301,0.00000042622,,,,,
401,4B 910620-,65.81,65.97,142.3,11.43, 8427,48427.76584,66168.427, 9.78,124.25,N,N,-999,  66,  0.4180,  0.2400,  -1.0240,-999, 132,  0.3330,  0.1150,  -1.0240,   1.011, 264,  0.2400,  0.0560,  -0.5120,   2.880, 0.202,   -1.088,   5.056, 0.181,   -1.792,0.000000022569,0.0000000059371,0.000000042382,0.0000000063926,0.00000010128,0.00000002086,0.000000033743,0.00000013858,,,,,
404,4B 910621-,326.87,-8.44,47.34,-42.73, 8428,48428.08145, 7037.547, 2.76,87.32,N,N,   1.810,  60,  1.2180,  0.2300,  34.1120,   2.949, 121,  1.0060,  0.1110,  34.2400,   4.950, 242,  0.8270,  0.0540,  34.9440,  29.568, 0.410,    5.184, 123.392, 3.360,  -53.760,0.00000072018,0.000000021901,0.000001001,0.00000002507,0.0000018912,0.00000004552,0.0000016119,0.00000051256,"Data gaps in burst accumulation interval, starting at T+165 s",,,,
408,4B 910621-,226.92,-12.44,347.22,38.45, 8428,48428.6783,58604.907, 1.71,77.65,N,N,   1.818,  66,  1.5750,  0.2690,   0.6400,   3.102, 132,  1.4350,  0.1310,  23.1040,   3.496, 264,  1.2080,  0.0630,  23.1680,  35.456, 0.842,   22.592,  85.440, 3.105,    0.064,0.00000097329,0.000000032542,0.0000018275,0.000000041373,0.0000030124,0.00000010178,0.00000062688,0.00000063294,Data gaps starting at T+152 s,,,,
414,4B 910622,8.46,-32.8,335.76,-83.17, 8429,48429.69032,59643.499, 4.89,163.92,N,N,-999,  66,  1.0510,  0.2280,  -0.8960,-999, 132,  1.0130,  0.1120,  -0.7680,   1.920, 264,  0.6410,  0.0520,  -0.5760,   5.312, 0.854,   -1.216,  15.552, 6.538,   -2.048,0.00000015298,0.000000016944,0.00000011744,0.000000013366,0.000000259,0.000000029751,0.000000066292,0.0000002819,,,,,
432,4B 910625,317.61,52.91,93.17,3.31, 8432,48432.22817,19714.027, 4.44,95.02,N,Y,   5.030,  66,  4.9760,  0.4010,   0.0000,-999, 132,  1.3360,  0.1450,   0.0640,   1.299, 264,  0.3740,  0.0640,   0.8960,   0.014, 0.001,   -0.048,   0.034, 0.005,   -0.059,0.000000005037,0.00000000093162,0.0000000096922,0.0000000014265,0.000000072313,0.0000000040178,0.00000062209,0.00000010159,,,,,
444,4B 910626,133.38,7.72,220.27,30.61, 8433,48433.30224,26113.451, 1.27,76.62,Y,N,  12.925, 138, 28.5590,  0.7680,   0.0640,-999,-999, 16.5970,  0.3000,   0.1280,-999,-999,  4.3680,  0.0920,   0.3200,   0.128, 0.091,   -0.064,   0.256, 0.091,   -0.128,0.00000018878,0.0000000069883,0.00000025921,0.0000000074834,0.0000005823,0.000000016244,0.00000047278,0.00000010593,,Ulysses,,,
451,4B 910627,197.99,-2.48,313.22,59.98, 8434,48434.18701,16157.739, 0.28,89.39,N,N,   9.372,  66, 17.4570,  0.9470,   5.6320,  18.074, 132, 16.9230,  0.4670,   5.6960,  30.936, 264, 15.3860,  0.2250,   5.9520,   3.072, 0.181,    4.224,  15.168, 2.369,    0.512,0.0000030934,0.000000031095,0.0000042095,0.000000036739,0.0000070203,0.000000080691,0.000006935,0.00000050757,,"PHEBUS/GRANAT; Ulysses, CGRO-COMPTEL, PVO rate increase, WATCH/GRANAT",,,
465,4B 910629-,69.24,-58.42,268.07,-40.28, 8436,48436.21928,18945.643,26.56,77.69,N,N,-999,  66,  0.3150,  0.2160,   0.7680,-999, 132,  0.3090,  0.1050,   0.7680,   1.027, 264,  0.2440,  0.0520,  -0.1920,   4.864, 0.802,   -1.216,  13.824, 2.572,   -2.048,0.000000087162,0.000000018716,0.000000061648,0.000000014299,0.00000023565,0.000000043579,0,0.0000002791,,,,,
467,4B 910629-,63.52,8.4,184.4,-29.44, 8436,48436.83042,71748.267, 2.97,138.37,N,N,  10.049,  66,  8.9980,  0.5140,   0.3200,  17.334, 132,  7.7290,  0.2420,   0.4480,  18.402, 264,  4.3760,  0.0970,   1.0240,   8.832, 0.466,    0.640,  37.696, 3.777,    0.128,0.00000025973,0.000000010524,0.00000047777,0.000000014907,0.0000020835,0.000000035647,0.0000039194,0.00000024044,,PHEBUS/GRANAT,,,
469,4B 910630,304.7,35.13,73.54,-0.48, 8437,48437.31739,27422.315, 0.91,75.85,N,N,   4.705,  60,  4.4240,  0.4000,   2.6880,   8.870, 121,  4.2220,  0.1980,   2.6880,  15.735, 264,  3.8200,  0.0950,   3.2640,   3.968, 0.202,    2.496,  15.424, 1.286,    0.448,0.0000004371,0.000000015368,0.00000062964,0.000000018639,0.000002673,0.000000037598,0.0000069479,0.00000038578,,"Ulysses rate increase, SIGMA/GRANAT",,,
